KodeID	KodeNavn	Tekst	Niva0ID	Niva0Navn	Niva0SortID	Niva1ID	Niva1Navn	Niva2ID	Niva2Navn	Niva3ID	Niva3Navn	Niva4ID	Niva4Navn	MNiva	LasteSeq
V5n8i	V5n8i - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under arbeid i ukjent eller ikke spesifisert næring	V5n8i - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under arbeid i ukjent eller ikke spesifisert næring	Kapittel XX	Kapittel XX - (V0n-Y98) Ytre årsaker til sykdommer, skader og dødsfall	NULL	V0n-X59	V0n-X59 - Ulykker  og uhell	V5n	V5n - Transportulykke med fører/passasjer i vare- og kombibil, lett lastebil	V5n8i	V5n8i - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under arbeid i ukjent eller ikke spesifisert næring	V5n8i	V5n8i - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under arbeid i ukjent eller ikke spesifisert næring	4	NULL
V5n8j	V5n8j - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under utdanning	V5n8j - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under utdanning	Kapittel XX	Kapittel XX - (V0n-Y98) Ytre årsaker til sykdommer, skader og dødsfall	NULL	V0n-X59	V0n-X59 - Ulykker  og uhell	V5n	V5n - Transportulykke med fører/passasjer i vare- og kombibil, lett lastebil	V5n8j	V5n8j - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under utdanning	V5n8j	V5n8j - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under utdanning	4	NULL
V5n8k	V5n8k - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under verneplikt, militærtjeneste eller siviltjeneste	V5n8k - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under verneplikt, militærtjeneste eller siviltjeneste	Kapittel XX	Kapittel XX - (V0n-Y98) Ytre årsaker til sykdommer, skader og dødsfall	NULL	V0n-X59	V0n-X59 - Ulykker  og uhell	V5n	V5n - Transportulykke med fører/passasjer i vare- og kombibil, lett lastebil	V5n8k	V5n8k - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under verneplikt, militærtjeneste eller siviltjeneste	V5n8k	V5n8k - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under verneplikt, militærtjeneste eller siviltjeneste	4	NULL
V5n8m	V5n8m - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste	V5n8m - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste	Kapittel XX	Kapittel XX - (V0n-Y98) Ytre årsaker til sykdommer, skader og dødsfall	NULL	V0n-X59	V0n-X59 - Ulykker  og uhell	V5n	V5n - Transportulykke med fører/passasjer i vare- og kombibil, lett lastebil	V5n8m	V5n8m - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste	V5n8m	V5n8m - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under idrett, sport eller mosjon i utdanning/verneplikt/siviltjeneste	4	NULL
V5n8p	V5n8p - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under annen idrett, sport eller mosjon	V5n8p - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under annen idrett, sport eller mosjon	Kapittel XX	Kapittel XX - (V0n-Y98) Ytre årsaker til sykdommer, skader og dødsfall	NULL	V0n-X59	V0n-X59 - Ulykker  og uhell	V5n	V5n - Transportulykke med fører/passasjer i vare- og kombibil, lett lastebil	V5n8p	V5n8p - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under annen idrett, sport eller mosjon	V5n8p	V5n8p - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under annen idrett, sport eller mosjon	4	NULL
V5n8r	V5n8r - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under annen aktivitet	V5n8r - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under annen aktivitet	Kapittel XX	Kapittel XX - (V0n-Y98) Ytre årsaker til sykdommer, skader og dødsfall	NULL	V0n-X59	V0n-X59 - Ulykker  og uhell	V5n	V5n - Transportulykke med fører/passasjer i vare- og kombibil, lett lastebil	V5n8r	V5n8r - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under annen aktivitet	V5n8r	V5n8r - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under annen aktivitet	4	NULL
V5n8y	V5n8y - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under ukjent aktivitet	V5n8y - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under ukjent aktivitet	Kapittel XX	Kapittel XX - (V0n-Y98) Ytre årsaker til sykdommer, skader og dødsfall	NULL	V0n-X59	V0n-X59 - Ulykker  og uhell	V5n	V5n - Transportulykke med fører/passasjer i vare- og kombibil, lett lastebil	V5n8y	V5n8y - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under ukjent aktivitet	V5n8y	V5n8y - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil i friluft, på hav, sjø eller vann under ukjent aktivitet	4	NULL
V5n9a	V5n9a - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted under arbeid i industri, bergverk, olje eller gass	V5n9a - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted under arbeid i industri, bergverk, olje eller gass	Kapittel XX	Kapittel XX - (V0n-Y98) Ytre årsaker til sykdommer, skader og dødsfall	NULL	V0n-X59	V0n-X59 - Ulykker  og uhell	V5n	V5n - Transportulykke med fører/passasjer i vare- og kombibil, lett lastebil	V5n9a	V5n9a - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted under arbeid i industri, bergverk, olje eller gass	V5n9a	V5n9a - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted under arbeid i industri, bergverk, olje eller gass	4	NULL
V5n9b	V5n9b - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted under arbeid i bygg og anlegg	V5n9b - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted under arbeid i bygg og anlegg	Kapittel XX	Kapittel XX - (V0n-Y98) Ytre årsaker til sykdommer, skader og dødsfall	NULL	V0n-X59	V0n-X59 - Ulykker  og uhell	V5n	V5n - Transportulykke med fører/passasjer i vare- og kombibil, lett lastebil	V5n9b	V5n9b - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted under arbeid i bygg og anlegg	V5n9b	V5n9b - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted under arbeid i bygg og anlegg	4	NULL
V5n9c	V5n9c - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel	V5n9c - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel	Kapittel XX	Kapittel XX - (V0n-Y98) Ytre årsaker til sykdommer, skader og dødsfall	NULL	V0n-X59	V0n-X59 - Ulykker  og uhell	V5n	V5n - Transportulykke med fører/passasjer i vare- og kombibil, lett lastebil	V5n9c	V5n9c - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel	V5n9c	V5n9c - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted i all virksomhet knyttet til olje-/gassutvinning på norsk kontinentalsokkel	4	NULL
V5n9d	V5n9d - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted i jordbruk eller skogbruk	V5n9d - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted i jordbruk eller skogbruk	Kapittel XX	Kapittel XX - (V0n-Y98) Ytre årsaker til sykdommer, skader og dødsfall	NULL	V0n-X59	V0n-X59 - Ulykker  og uhell	V5n	V5n - Transportulykke med fører/passasjer i vare- og kombibil, lett lastebil	V5n9d	V5n9d - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted i jordbruk eller skogbruk	V5n9d	V5n9d - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted i jordbruk eller skogbruk	4	NULL
V5n9e	V5n9e - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted under arbeid med fiske eller fangst	V5n9e - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted under arbeid med fiske eller fangst	Kapittel XX	Kapittel XX - (V0n-Y98) Ytre årsaker til sykdommer, skader og dødsfall	NULL	V0n-X59	V0n-X59 - Ulykker  og uhell	V5n	V5n - Transportulykke med fører/passasjer i vare- og kombibil, lett lastebil	V5n9e	V5n9e - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted under arbeid med fiske eller fangst	V5n9e	V5n9e - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted under arbeid med fiske eller fangst	4	NULL
V5n9f	V5n9f - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted under arbeid i det militære forsvar	V5n9f - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted under arbeid i det militære forsvar	Kapittel XX	Kapittel XX - (V0n-Y98) Ytre årsaker til sykdommer, skader og dødsfall	NULL	V0n-X59	V0n-X59 - Ulykker  og uhell	V5n	V5n - Transportulykke med fører/passasjer i vare- og kombibil, lett lastebil	V5n9f	V5n9f - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted under arbeid i det militære forsvar	V5n9f	V5n9f - Transportulykke med fører eller passasjer i varebil, kombibil eller lett lastebil på annet sted under arbeid i det militære forsvar	4	NULL
